taskSize,taskType,priority,resourceLoad,actualTime
2,1,4,7.93,1.913
1,2,3,57.22,1.116
2,1,5,13.66,0.908
2,2,1,33.15,7.202
3,2,1,12.57,29.384
1,1,4,16.78,0.357
1,1,1,34.68,0.937
2,2,1,26.11,13.138
1,1,1,36.22,1.074
1,1,2,7.68,0.729
1,1,3,21.42,0.514
1,1,3,34.93,0.639
1,2,1,23.25,1.0
1,1,2,38.13,0.762
1,3,3,43.73,1.425
1,2,1,32.67,1.659
3,3,1,12.72,26.512
1,2,1,5.07,0.933
1,1,2,15.35,0.565
1,1,5,59.44,1.228
1,1,5,31.52,0.34
3,2,3,32.4,35.198
3,2,1,47.96,30.822
1,1,5,26.96,0.407
1,2,3,13.96,1.024
1,1,5,40.78,0.455
1,2,5,33.43,0.452
1,1,1,13.51,0.684
1,1,1,2.06,0.521
1,1,2,10.8,0.551
1,3,4,31.28,0.634
1,2,1,30.78,2.127
1,1,2,42.82,0.833
1,2,1,17.13,1.488
1,1,2,15.6,0.559
1,1,2,42.92,0.881
1,2,1,12.03,1.027
1,1,5,57.09,0.471
1,2,1,8.37,1.407
2,1,1,73.34,9.051
3,2,2,30.19,24.678
1,1,1,19.36,1.24
1,1,1,72.26,1.66
2,1,1,27.16,5.92
2,2,3,26.25,5.874
1,3,1,16.3,1.171
1,1,3,25.7,0.533
1,1,1,37.83,0.47
1,2,4,17.96,0.872
1,1,2,7.34,0.546
1,1,1,15.2,0.736
1,1,2,16.7,0.772
1,1,1,33.35,0.663
1,2,1,38.48,1.36
2,1,1,19.4,3.764
1,1,2,6.75,0.591
1,1,1,18.17,1.193
1,1,2,22.2,0.75
2,3,2,24.23,1.903
1,1,3,41.94,0.584
1,3,1,16.24,0.714
1,3,5,27.51,0.381
2,1,2,37.17,2.987
2,3,1,14.4,6.463
2,1,1,17.03,2.63
2,1,2,2.31,2.488
1,2,2,14.78,1.099
1,1,1,47.91,1.392
1,2,1,39.38,1.724
2,3,1,21.78,6.249
1,3,4,28.66,0.597
1,2,1,21.04,1.212
2,2,2,28.62,6.44
1,2,2,46.28,2.191
1,1,1,39.61,0.588
1,1,2,40.44,0.606
2,2,2,52.63,3.371
3,1,2,50.61,19.877
1,2,3,30.57,1.61
3,1,1,17.03,21.426
2,2,1,39.39,10.466
2,2,1,41.86,5.994
2,1,2,10.98,3.044
1,3,2,18.53,0.979
2,2,3,47.5,5.252
1,2,1,36.89,1.637
2,1,1,2.36,2.985
1,1,2,25.7,0.88
2,3,2,44.12,4.346
3,1,3,17.93,9.888
1,1,1,11.16,0.83
3,2,1,27.12,34.057
1,1,4,30.33,0.341
1,3,1,42.43,1.36
1,1,2,31.05,0.638
2,2,1,52.18,7.963
1,1,1,7.5,0.519
1,1,5,46.37,0.445
2,2,1,18.57,6.898
1,1,3,40.4,0.602
1,1,2,53.38,1.711
2,1,3,23.86,3.187
2,1,1,46.13,4.549
2,3,2,42.17,4.91
1,2,1,43.0,2.5
3,1,2,63.89,22.185
1,1,1,12.58,0.743
1,2,1,32.95,1.176
1,1,5,62.2,0.846
1,1,1,59.08,1.909
2,3,1,24.81,6.977
2,2,1,30.5,11.571
1,1,2,32.81,0.635
1,1,1,28.24,0.744
2,2,3,59.78,5.37
3,2,1,23.87,23.911
1,1,1,61.39,1.521
1,2,2,34.18,0.873
1,3,2,12.6,0.618
1,1,1,5.47,0.505
1,2,1,10.25,1.08
1,3,2,36.76,1.057
2,2,4,13.85,4.379
1,3,1,37.35,1.635
1,1,1,38.8,1.148
1,2,4,51.83,0.998
3,1,1,7.07,10.225
1,1,1,27.35,0.961
1,2,2,31.49,1.429
1,2,1,33.51,0.919
2,1,1,36.29,2.445
2,1,1,36.95,2.767
1,1,3,17.17,0.549
1,3,1,19.03,0.629
1,2,2,39.93,1.04
2,1,1,42.05,4.484
3,1,1,7.5,15.315
1,3,1,28.75,1.018
1,2,1,7.81,1.071
2,2,2,15.49,5.956
2,2,3,6.24,4.391
1,1,2,40.9,0.536
1,1,1,21.56,0.523
1,1,1,49.04,0.766
2,1,3,28.76,2.793
2,2,1,12.48,4.523
2,2,1,50.73,9.567
2,3,2,32.44,3.258
1,1,2,50.14,1.036
1,2,2,31.38,1.505
1,3,1,19.25,0.679
2,1,5,44.78,1.931
1,1,4,15.49,0.469
1,3,2,17.62,0.87
1,1,1,29.22,0.445
2,2,3,20.44,4.061
2,1,2,2.97,3.105
2,1,3,8.31,2.897
1,3,1,13.09,0.632
3,1,2,19.84,16.423
2,1,1,39.36,5.694
2,1,2,35.38,3.081
2,1,1,26.94,4.387
3,1,1,35.4,17.453
3,2,4,3.17,20.45
1,1,3,30.44,1.045
1,1,2,46.46,0.661
1,1,2,10.57,0.577
2,2,1,21.62,4.123
2,1,3,11.86,1.322
1,3,1,15.56,0.713
1,3,1,20.75,1.357
3,1,2,6.22,16.697
2,1,4,22.79,2.127
3,2,4,34.47,12.898
1,1,4,17.05,0.326
2,3,1,20.14,6.041
2,3,4,23.93,2.446
1,2,1,19.6,0.626
1,1,3,30.98,0.477
3,1,2,13.35,17.123
1,1,1,3.47,0.452
1,1,3,18.75,0.335
2,2,1,35.44,6.067
2,1,1,3.29,3.101
1,2,1,2.4,1.398
2,2,3,16.63,3.834
1,1,1,24.3,1.059
2,2,1,27.41,8.624
1,3,2,13.95,0.769
2,1,2,35.64,3.452
2,2,1,11.35,5.728
1,1,3,61.66,0.787
1,2,1,26.25,1.205
2,3,1,21.39,4.864
1,2,2,13.17,1.139
1,1,1,8.66,0.868
1,1,3,35.9,0.555
3,3,2,29.4,15.893
1,2,2,24.49,1.024
1,1,1,16.26,0.634
3,2,3,13.63,15.018
1,1,2,24.15,0.586
1,3,5,18.47,0.397
1,1,4,5.03,0.437
1,1,2,15.49,0.607
1,1,3,26.23,0.835
2,1,1,37.09,5.284
1,2,3,32.52,0.955
2,2,1,37.02,9.742
1,2,1,10.28,1.216
1,1,1,23.64,0.636
1,2,1,17.65,1.145
1,3,2,21.99,0.815
2,2,2,44.59,5.399
1,2,3,4.75,1.052
1,1,1,3.53,0.491
1,3,1,14.28,0.903
2,1,3,19.7,4.242
1,3,1,22.67,0.821
2,1,2,41.96,5.68
1,1,2,13.3,0.678
1,1,2,46.1,0.962
2,3,4,38.71,3.814
1,2,3,6.6,0.837
1,1,1,22.0,0.708
3,3,3,10.85,15.022
1,1,1,11.61,0.749
1,3,1,12.69,1.126
1,3,1,18.59,1.327
1,2,1,15.11,1.392
2,1,4,32.92,3.581
1,3,1,40.39,1.211
3,2,1,8.0,25.187
2,1,2,8.88,3.331
3,2,2,45.67,40.21
2,1,3,17.24,2.074
3,1,4,26.02,7.306
2,2,3,10.62,3.945
1,2,1,17.34,1.302
1,2,2,3.67,1.052
2,2,2,9.31,4.826
1,3,2,19.21,0.708
2,1,1,40.83,2.734
1,1,1,40.5,0.84
2,1,1,38.79,7.026
1,3,5,64.06,0.995
3,1,2,23.37,10.361
1,1,2,12.62,0.718
1,3,1,25.17,0.898
2,2,1,11.06,7.404
2,1,2,16.66,2.201
2,3,3,21.31,2.838
3,1,2,10.85,13.124
1,2,1,30.54,2.229
2,1,3,60.35,5.463
1,2,2,27.01,0.936
1,1,2,30.42,0.806
1,3,1,68.15,1.904
1,2,5,30.2,0.863
1,1,1,15.75,0.784
2,3,4,30.65,3.714
1,2,1,29.36,1.163
3,1,1,24.25,16.744
1,1,2,40.1,0.637
1,1,1,42.83,0.385
2,2,4,49.13,10.268
1,3,2,8.54,0.738
1,1,2,29.66,0.675
2,1,2,14.84,2.64
1,2,2,29.94,0.849
1,3,2,15.07,0.55
2,1,4,10.06,1.781
1,1,2,47.58,0.872
2,3,2,73.35,5.537
2,3,1,15.98,4.103
1,2,2,38.68,1.171
1,2,2,19.32,1.217
1,1,1,18.47,0.425
2,3,2,53.86,6.73
1,2,3,44.92,1.334
3,2,3,10.54,20.676
1,3,4,9.64,0.474
2,3,2,3.99,2.685
1,1,1,6.83,0.663
1,1,2,33.76,0.484
1,1,1,6.07,0.935
1,3,2,47.68,1.06
3,2,4,30.82,31.808
1,2,1,6.1,1.585
1,1,3,34.01,0.381
1,1,1,21.16,0.676
1,1,3,41.63,0.283
2,3,1,44.58,4.807
3,1,1,10.04,13.695
2,3,3,11.46,3.488
1,1,2,24.72,0.904
1,1,4,29.99,0.53
2,1,1,29.24,3.713
1,1,2,20.52,0.714
2,2,2,50.7,14.451
1,1,1,24.17,0.978
1,2,1,42.41,1.417
2,1,3,40.37,4.732
1,3,2,20.82,0.514
3,1,5,34.95,10.521
1,2,1,59.88,2.004
1,3,1,19.49,1.169
1,3,1,20.1,1.318
1,2,4,13.76,0.861
1,2,3,16.3,1.226
1,2,5,37.54,0.796
2,2,4,61.13,8.74
2,3,1,7.0,2.773
1,2,4,10.65,0.744
1,2,3,28.74,1.342
1,3,1,9.0,0.8
2,1,2,24.58,2.317
1,2,2,16.79,1.571
1,1,1,51.47,0.933
1,1,1,50.27,0.583
1,2,3,56.28,1.0
1,1,1,42.21,0.735
1,1,1,30.37,1.037
3,3,4,55.54,43.973
1,1,4,21.24,0.22
1,2,1,22.16,1.482
1,1,1,47.23,0.648
1,3,1,37.09,0.808
1,1,2,8.07,0.709
1,3,1,24.19,0.947
1,1,2,51.72,1.275
2,1,1,16.97,3.256
1,1,2,2.96,0.519
3,1,1,7.16,14.645
1,3,1,53.53,0.616
1,2,1,17.83,1.357
3,1,2,32.85,9.979
2,2,2,29.97,9.395
1,1,2,38.73,1.116
2,2,1,29.92,5.933
1,2,1,45.44,1.376
1,2,1,10.35,0.637
2,3,1,45.34,8.666
2,2,3,15.87,4.362
1,1,5,47.63,0.576
2,1,2,60.41,4.86
1,3,1,30.26,1.019
1,1,2,27.29,0.621
3,1,4,5.27,11.78
1,2,4,37.71,0.814
1,1,3,24.56,0.305
1,1,4,24.73,0.7
1,3,4,10.84,0.412
1,1,1,12.85,0.652
3,2,2,14.82,19.778
2,1,2,21.36,4.699
2,2,2,54.8,12.168
1,2,2,14.28,1.075
1,1,3,42.42,0.517
1,3,3,58.35,1.132
1,2,2,41.75,1.083
1,3,2,27.26,0.649
2,1,2,10.73,3.494
2,2,2,14.07,4.611
1,3,2,4.08,0.832
1,2,3,23.23,0.991
2,3,1,49.86,7.282
1,1,2,40.18,0.478
3,2,4,63.02,43.358
1,2,1,14.83,1.082
1,1,1,19.66,0.563
1,2,3,57.51,2.046
3,1,3,51.97,16.499
1,3,2,16.89,0.731
2,2,1,23.33,4.673
1,3,1,18.37,0.774
1,2,3,4.95,1.523
2,3,3,63.05,7.703
1,1,1,7.82,0.833
1,2,1,22.31,1.316
1,1,1,11.8,0.659
2,2,1,18.75,8.32
1,1,1,23.05,0.729
1,2,2,46.16,1.291
3,1,1,2.36,15.21
2,3,2,55.14,5.4
2,3,2,34.73,2.732
2,2,1,39.66,12.985
2,1,1,48.96,4.676
1,2,3,21.52,0.686
1,2,1,43.57,1.469
2,1,4,34.42,2.083
2,2,1,28.77,5.394
3,3,2,39.97,25.203
1,1,2,13.06,0.776
1,1,3,33.46,0.629
1,3,2,18.07,0.807
2,1,1,40.96,5.894
1,3,3,6.55,0.53
2,2,4,32.5,3.705
1,1,3,33.25,0.377
1,3,1,31.32,1.003
1,1,1,27.87,0.629
2,1,1,31.78,5.278
3,1,3,7.16,12.822
1,3,1,33.84,1.151
1,1,2,58.53,1.185
1,1,3,42.29,0.748
1,1,2,37.2,0.926
1,2,2,27.89,1.42
2,1,1,23.63,2.807
3,1,2,29.31,19.163
1,2,2,41.2,0.786
1,2,2,40.01,1.145
1,2,2,31.9,0.742
1,2,2,11.37,0.932
1,2,1,37.62,1.295
2,3,2,26.07,4.446
1,2,2,27.94,1.478
2,2,2,61.87,7.185
1,1,1,30.77,0.922
2,3,5,39.47,3.167
2,3,4,37.91,3.552
1,2,3,22.44,0.974
1,1,1,55.78,0.636
2,1,2,17.14,2.54
2,3,2,14.43,3.751
1,1,3,36.64,0.888
1,2,2,25.79,1.157
1,1,2,36.49,0.558
2,1,3,15.44,2.71
2,1,2,44.6,2.839
1,2,3,7.77,0.918
2,1,2,51.35,4.597
2,1,2,5.46,2.582
2,2,1,19.15,5.951
1,2,3,7.04,1.028
1,2,2,30.93,0.989
1,3,3,64.8,1.192
1,1,1,13.66,0.738
1,2,1,52.49,3.808
1,1,1,37.74,0.77
1,1,2,14.05,0.443
2,3,3,11.77,2.474
1,1,2,28.04,0.963
2,2,2,25.58,4.867
1,1,1,22.31,0.461
1,1,5,54.24,0.669
1,2,1,6.38,1.073
2,2,1,39.18,9.248
2,2,3,36.51,4.295
1,1,1,59.16,1.021
2,1,1,53.75,4.081
1,2,1,24.19,1.387
1,1,1,1.69,0.723
1,1,2,56.46,1.145
1,3,2,1.36,0.836
1,1,1,9.46,0.676
2,1,3,26.59,1.627
1,3,3,14.72,0.533
1,3,2,23.74,0.782
1,1,4,19.29,0.39
1,3,1,40.91,1.001
1,1,1,21.68,1.242
3,2,3,19.58,51.908
2,1,1,59.87,5.034
1,3,5,34.77,0.852
2,2,1,25.05,6.036
1,1,1,10.86,0.904
1,1,2,39.71,1.091
1,1,1,13.08,0.732
1,1,2,7.45,0.563
1,1,3,21.84,0.739
2,1,1,10.28,2.395
1,2,1,14.36,1.622
2,2,2,8.9,3.378
2,1,2,45.74,5.765
2,1,2,21.94,4.659
2,1,2,42.25,3.334
2,1,4,25.4,2.987
1,1,1,32.73,0.576
1,1,2,13.78,0.517
1,1,2,20.4,0.619
3,1,1,4.19,12.629
1,1,1,42.13,0.406
1,3,2,54.84,1.162
2,3,1,32.15,2.486
1,1,2,26.94,0.582
2,2,4,20.05,5.239
1,2,3,36.49,1.167
1,1,1,17.37,1.12
1,3,1,73.51,3.653
1,1,1,26.13,0.657
1,1,1,21.58,0.715
1,3,1,28.61,1.167
1,1,1,53.02,1.277
2,2,5,11.02,3.293
2,3,5,74.89,4.142
1,1,1,37.44,1.155
1,3,1,32.95,0.642
1,1,4,8.8,0.286
2,2,3,12.08,4.838
2,1,3,3.63,2.257
1,2,2,14.46,0.617
1,1,2,46.8,1.077
3,2,1,54.01,28.447
2,2,4,33.13,2.783
1,1,4,27.7,0.568
2,3,1,39.58,5.538
1,3,1,23.17,1.097
1,2,2,9.98,0.994
2,2,5,12.77,4.062
1,1,2,33.34,0.716
1,1,4,42.57,0.687
3,1,2,27.54,18.114
2,1,2,20.47,2.989
1,1,3,46.74,0.655
2,1,5,18.52,1.635
2,2,3,9.99,4.153
1,1,4,47.92,0.445
3,1,1,44.09,31.891
2,2,1,24.06,5.718
1,1,1,7.3,0.531
1,1,1,47.26,0.756
2,3,3,43.99,3.003
3,1,1,56.42,21.615
1,1,1,45.65,0.85
1,2,4,17.61,0.738
2,2,4,23.13,4.164
1,2,1,16.63,1.542
1,2,2,20.39,1.179
2,2,1,19.06,6.302
2,1,1,40.73,5.615
2,1,2,36.59,2.842
2,2,2,11.9,4.721
1,1,4,29.57,0.4
3,2,2,5.71,13.953
1,3,3,53.43,1.087
1,2,1,46.79,1.098
2,1,1,23.26,3.68
2,2,3,20.08,4.295
2,3,1,44.28,4.861
1,1,1,23.37,0.643
3,2,4,30.5,23.649
2,1,1,20.52,4.078
2,3,2,25.77,3.645
3,1,1,29.57,22.93
1,2,1,11.23,1.578
2,2,5,17.81,3.926
2,1,2,28.13,3.397
2,3,4,33.21,3.508
2,3,2,19.97,3.807
2,1,3,53.99,6.829
1,1,1,30.13,0.781
1,2,1,37.34,1.533
3,1,1,7.26,38.691
3,1,1,10.61,18.074
3,1,2,6.97,14.945
1,1,1,44.44,0.726
1,2,2,28.66,2.175
2,1,1,38.86,3.914
2,1,1,24.74,3.977
1,3,2,22.97,1.127
2,1,4,69.65,5.202
1,1,3,41.46,0.459
1,2,1,50.72,1.181
1,3,5,24.07,0.376
1,3,1,24.62,0.995
1,1,1,37.09,0.781
3,2,1,47.03,26.104
2,2,1,11.13,5.996
3,2,4,20.6,18.828
1,1,3,5.44,0.259
1,1,2,51.04,1.394
1,3,2,20.13,0.743
2,2,1,35.75,2.976
1,1,1,49.63,0.874
2,2,2,40.99,8.506
2,1,1,30.28,3.583
2,3,2,52.07,5.329
1,1,3,12.98,0.486
1,1,1,42.18,1.059
1,2,2,21.14,0.963
1,1,2,6.8,0.553
2,1,2,51.44,2.301
1,1,1,44.09,1.197
2,2,2,38.06,4.292
1,3,2,14.92,0.721
3,2,1,30.5,34.373
3,2,2,49.26,24.783
1,3,4,6.1,0.614
2,3,2,9.61,3.605
1,1,5,10.2,0.273
2,1,4,37.57,2.092
2,2,5,26.11,4.343
2,3,1,1.59,5.391
2,3,4,39.45,2.415
1,1,2,14.55,0.735
2,3,1,18.4,4.886
2,1,2,13.4,3.077
1,2,3,9.43,0.911
1,3,2,23.33,0.96
2,1,3,15.04,2.125
2,2,3,14.55,4.083
1,1,2,22.5,0.69
3,3,2,19.74,21.864
2,1,3,16.58,2.577
1,2,1,69.02,1.925
1,1,3,12.24,0.537
2,1,1,45.58,4.062
2,1,2,35.73,4.647
1,1,1,28.91,0.687
1,1,5,42.59,0.8
2,1,5,23.94,1.449
2,3,1,19.53,4.617
2,1,2,62.6,4.4
1,2,1,34.54,1.431
2,2,5,15.87,3.664
1,3,5,24.48,0.621
1,1,2,23.17,0.764
2,1,1,29.18,3.664
2,1,2,45.86,2.801
1,1,3,56.35,0.698
2,2,4,45.8,7.204
1,2,2,20.34,1.135
1,2,2,30.84,1.234
1,3,2,18.11,0.79
1,3,1,6.08,0.893
2,1,1,55.62,6.409
2,2,4,15.62,3.612
2,1,2,24.68,3.336
1,3,2,23.03,0.791
1,2,3,20.09,1.517
1,2,1,36.87,1.659
2,2,1,7.08,4.901
1,2,5,7.26,0.687
1,2,3,17.1,1.002
2,3,3,6.92,2.799
2,1,1,25.67,2.365
1,2,1,21.27,1.856
1,1,5,37.94,0.463
2,1,2,66.36,4.623
1,1,1,13.29,0.601
1,1,3,15.13,0.541
2,1,1,44.36,5.911
1,1,1,22.97,0.667
1,2,1,37.27,1.599
1,2,1,9.33,1.253
1,1,3,15.37,0.46
1,2,1,19.23,1.115
1,3,1,33.88,1.243
1,1,2,58.47,1.225
1,1,5,27.65,0.429
2,3,1,12.98,6.206
3,1,3,18.25,13.087
1,3,5,21.25,0.479
1,3,1,48.42,0.991
2,1,1,33.01,3.905
3,1,1,10.26,11.952
2,3,2,16.3,3.396
1,1,5,15.74,0.216
1,1,3,31.43,0.795
1,1,2,11.55,0.488
2,2,4,3.4,4.515
1,2,2,23.13,1.399
1,3,5,21.66,0.609
1,1,1,27.16,0.612
1,2,3,12.12,1.11
2,2,1,19.19,7.928
1,1,1,33.26,0.607
2,3,2,18.73,3.067
2,1,3,23.28,2.228
2,1,1,34.64,2.703
1,1,3,52.54,0.831
2,2,4,40.83,3.003
2,2,1,23.32,9.621
1,3,1,11.73,0.775
1,2,3,18.85,0.862
2,3,1,33.45,4.499
1,2,1,28.89,1.411
1,3,2,17.06,1.085
1,3,2,22.63,1.018
1,1,1,17.54,0.501
1,1,2,13.36,0.889
2,3,1,25.37,6.366
1,1,1,65.21,2.138
2,2,1,12.21,6.312
1,1,2,10.97,0.599
1,1,1,47.24,1.219
1,1,2,17.02,0.332
2,1,2,14.92,2.897
3,2,2,39.77,27.137
1,3,1,22.07,0.462
1,2,4,39.46,1.14
1,2,4,46.98,2.2
1,1,1,8.62,0.64
2,1,2,48.62,5.566
1,1,2,63.35,1.236
3,2,2,24.18,35.511
1,2,2,14.12,1.269
1,1,2,11.42,0.711
2,2,2,27.57,6.649
1,1,2,58.98,0.562
2,3,1,39.67,6.487
1,1,2,34.79,1.08
2,3,1,9.19,4.866
1,2,1,21.0,1.398
1,3,2,27.28,1.094
2,2,2,6.73,7.674
1,2,1,43.24,1.441
1,1,5,29.9,0.417
2,1,4,14.71,2.733
1,1,1,22.77,0.636
2,3,4,32.01,4.5
2,2,1,37.99,7.316
2,2,3,19.2,3.532
1,1,1,22.24,0.681
1,1,1,40.96,1.136
3,1,3,34.09,11.46
1,1,2,10.0,0.534
1,2,1,15.67,1.212
1,1,4,27.59,0.333
1,2,2,51.87,1.12
1,1,2,25.67,0.63
2,1,3,43.71,3.773
2,2,1,14.98,5.341
2,2,1,74.69,13.13
1,1,5,6.11,0.327
1,3,1,54.79,2.23
1,1,2,9.88,0.67
2,2,1,11.28,4.728
1,2,1,16.82,1.21
1,1,1,30.72,0.892
1,1,4,5.75,0.493
2,1,3,15.37,2.947
2,1,2,11.91,3.723
2,1,3,15.06,2.639
1,2,2,15.4,0.82
3,1,5,25.28,8.267
1,1,1,25.49,1.099
1,1,5,11.44,0.396
1,2,4,20.04,0.916
1,1,4,27.79,0.722
1,2,1,27.13,1.563
1,1,1,32.06,0.646
1,1,3,24.16,0.531
2,3,2,19.66,5.344
2,2,3,8.5,4.998
2,2,2,2.54,5.125
1,3,1,24.75,0.566
1,3,1,20.58,0.753
2,3,4,18.03,3.044
1,1,1,25.07,0.451
1,1,2,12.81,0.463
1,3,3,20.55,0.733
2,2,4,89.34,32.316
1,2,1,15.68,0.954
2,2,1,39.11,8.551
1,2,1,16.77,1.581
1,2,4,28.58,0.655
1,1,2,10.4,0.826
1,1,1,18.5,0.807
1,1,2,44.12,0.861
2,3,3,39.73,2.965
1,1,1,31.49,0.733
1,3,2,11.76,0.615
2,2,2,31.52,5.131
1,3,1,33.29,1.01
1,3,2,52.31,0.696
1,1,2,28.86,0.638
1,2,2,30.49,2.185
1,2,3,35.67,1.077
2,1,1,3.75,3.969
1,1,1,33.17,0.65
2,2,2,21.65,3.607
1,3,1,9.01,0.743
2,1,4,17.42,2.337
2,1,2,46.2,5.546
1,3,2,11.86,0.833
1,1,3,31.01,0.356
1,3,4,11.03,0.526
3,1,2,17.84,14.896
3,1,2,41.41,29.615
1,1,1,61.6,1.506
2,1,2,45.99,2.595
1,1,2,21.54,0.42
1,2,1,13.88,1.475
2,1,3,26.02,2.617
1,3,1,29.86,0.555
1,1,3,26.09,0.81
2,2,1,33.1,7.435
1,2,3,33.25,1.45
2,1,4,42.91,3.346
1,2,1,26.81,0.951
1,1,3,29.11,0.532
1,3,1,29.87,0.614
3,1,2,26.39,11.957
1,1,2,29.8,0.531
1,2,5,30.06,0.623
2,1,1,45.51,2.945
3,3,1,24.61,32.273
3,1,4,16.47,9.216
1,1,1,43.73,0.734
1,1,3,38.33,0.513
1,1,5,31.75,0.339
2,2,4,45.75,6.544
2,2,1,56.3,9.034
2,2,1,11.91,5.879
1,1,4,18.74,0.549
1,3,4,20.55,0.659
1,2,1,66.07,4.776
1,2,2,15.92,1.346
1,1,1,34.68,0.649
1,1,2,11.03,0.473
2,1,3,41.24,1.19
2,3,1,38.56,9.136
2,2,1,13.63,8.729
2,1,1,44.91,3.979
2,2,5,5.94,3.62
2,1,1,19.12,4.715
1,1,1,20.86,0.451
2,2,1,52.83,6.805
1,1,2,26.78,0.427
1,2,5,31.79,0.844
1,2,4,34.2,0.862
2,1,2,1.25,2.944
2,2,1,44.25,5.579
3,1,1,15.26,12.101
3,3,1,30.02,21.684
2,1,3,20.9,3.116
1,1,2,14.33,0.643
2,1,2,22.71,3.373
2,1,4,48.5,2.269
2,1,1,9.76,3.188
1,1,1,24.96,1.081
1,3,2,12.17,1.097
3,1,4,20.7,8.628
1,1,2,31.09,0.848
1,1,5,14.17,0.268
1,2,1,33.06,1.917
1,2,1,35.9,1.046
1,3,1,18.33,0.9
3,2,1,25.28,30.4
2,2,1,9.8,8.066
3,1,2,29.91,11.371
1,3,2,47.49,0.849
1,1,1,8.18,0.594
1,2,5,18.11,0.807
1,3,1,60.89,1.779
1,1,5,22.69,0.465
2,1,1,16.9,4.742
3,1,1,16.05,17.159
1,3,3,13.68,0.768
1,1,1,19.78,0.439
1,1,2,23.54,0.337
1,2,3,53.22,2.373
1,2,3,18.72,1.483
1,2,4,19.52,0.959
1,2,1,22.54,1.262
1,3,2,39.07,0.983
2,1,2,44.76,2.464
1,1,1,70.7,1.767
1,2,3,19.0,0.747
1,1,2,38.61,0.393
1,2,1,35.79,1.723
1,3,5,4.66,0.367
2,1,1,27.04,4.287
2,1,4,17.12,3.891
2,3,2,37.28,3.318
1,1,2,17.1,0.625
1,1,4,58.48,0.816
1,1,3,29.22,0.814
1,1,1,16.57,0.51
2,1,1,38.91,5.156
1,1,2,51.41,1.052
1,1,2,26.48,0.823
1,1,2,18.01,0.71
1,2,2,31.53,1.453
3,2,2,54.1,43.413
1,3,1,27.36,0.556
1,3,2,11.2,0.559
1,1,2,35.4,0.537
2,1,5,18.86,2.965
1,2,2,32.8,0.646
2,1,1,46.35,5.16
1,1,5,53.07,0.44
1,1,1,16.84,0.528
2,1,2,34.77,3.874
1,1,3,27.91,0.485
1,3,2,25.48,0.788
1,2,4,15.27,0.821
1,1,1,28.5,0.564
1,2,3,26.91,1.023
2,2,1,12.07,8.447
1,1,3,7.89,0.71
1,2,2,9.03,0.87
1,1,1,33.27,0.695
2,2,2,14.98,6.546
1,1,2,18.24,0.615
1,1,1,1.98,0.664
2,2,2,49.79,9.93
2,2,3,23.47,7.172
3,1,1,42.9,23.909
1,3,3,36.34,1.124
1,3,4,11.26,0.634
1,2,4,36.94,0.704
2,2,1,25.47,7.677
1,2,5,8.89,0.574
1,1,1,7.76,0.536
1,1,3,43.04,0.803
2,3,2,60.57,4.147
2,1,4,22.67,2.312
1,3,1,62.54,1.937
3,1,4,23.04,10.578
3,1,2,13.15,24.055
1,1,2,8.1,0.618
1,1,2,14.07,0.355
2,2,1,51.56,7.1
1,1,4,14.49,0.409
1,3,1,44.12,1.96
1,2,2,31.71,1.453
3,1,2,29.16,17.54
1,2,2,8.09,0.956
2,3,2,19.17,3.881
1,1,1,8.94,0.527
1,1,2,4.21,0.946
2,1,4,58.93,4.098
1,3,2,28.4,0.526
1,3,3,39.27,1.105
1,3,1,27.07,0.861
2,1,3,19.63,2.656
1,3,4,53.04,0.876
1,1,1,20.6,0.434
1,2,1,20.84,0.647
1,3,1,41.53,0.878
1,1,2,59.71,1.293
1,3,1,10.32,0.887
1,1,1,16.63,0.665
1,3,4,14.33,0.383
2,2,1,34.23,7.791
2,1,1,35.6,3.026
1,2,3,56.71,2.091
1,1,1,60.07,1.198
1,1,1,9.47,0.652
3,1,2,5.75,12.035
1,3,1,15.98,0.863
1,3,1,54.18,2.784
1,2,3,43.45,1.905
1,1,3,24.71,0.469
1,1,4,46.17,0.483
1,1,1,8.97,0.499
2,1,1,9.13,3.038
2,3,1,38.81,5.168
2,1,2,5.4,1.967
2,1,1,9.06,3.475
1,1,2,11.96,0.494
3,3,3,32.84,16.965
2,1,5,12.24,1.549
2,2,2,2.43,4.25
2,1,2,38.72,3.429
1,2,1,46.62,1.379
1,2,4,31.55,0.684
1,1,1,28.12,0.713
1,1,1,17.61,0.591
1,1,1,39.54,1.045
1,3,3,20.45,0.657
1,2,3,52.8,1.468
3,3,1,70.13,50.592
2,1,1,54.58,3.276
1,2,3,38.59,0.643
1,2,3,32.86,1.14
1,1,2,7.99,0.463
2,1,1,42.82,6.049
2,1,1,16.16,4.203
2,1,1,21.71,4.551
1,3,4,30.55,0.671
1,3,3,36.84,0.736
2,3,1,45.59,3.464
3,1,2,51.32,26.614
1,1,1,48.59,1.391
1,1,1,27.94,0.611
1,3,4,18.96,0.537
1,1,3,27.42,0.755
3,1,1,22.64,14.887
2,2,1,12.59,6.852
1,1,3,23.56,0.507
1,2,2,11.37,1.053
1,2,1,19.18,1.44
1,2,1,32.89,1.771
1,3,4,34.6,0.489
2,1,1,49.72,4.163
2,1,2,43.62,3.681
1,1,1,54.13,1.202
2,2,3,12.13,4.593
2,1,3,34.51,4.821
1,2,2,42.71,3.06
2,1,1,31.24,4.596
